scale,n_params_M,probe,dims,n,n_pos,random_roc,random_pr,tax_family_roc,tax_family_pr,tax_genus_roc,tax_genus_pr,temporal_roc,temporal_pr
35M,35,logreg,960,9196,1077,0.8336,0.4658,0.604,0.1556,0.6716,0.3179,0.8,0.3342
35M,35,xgboost,960,9196,1077,0.8847,0.6875,0.6237,0.1566,0.7152,0.4004,0.8562,0.5756
650M,650,logreg,2560,9196,1077,0.85,0.5116,0.6409,0.1739,0.688,0.335,0.8286,0.3289
650M,650,xgboost,2560,9196,1077,0.9002,0.7135,0.6642,0.1783,0.7443,0.4629,0.8766,0.6318
3B,3000,logreg,5120,9196,1077,0.8724,0.646,0.7119,0.2328,0.7549,0.464,0.8656,0.515
3B,3000,xgboost,5120,9196,1077,0.9042,0.7244,0.7081,0.2066,0.7862,0.509,0.8776,0.6291
150M,150,logreg,1280,9196,1077,0.8412,0.4756,0.6132,0.1559,0.6822,0.2959,0.7946,0.2892
150M,150,xgboost,1280,9196,1077,0.8817,0.6786,0.6483,0.1692,0.7064,0.3834,0.8669,0.5628
15B,15000,xgboost,10240,9196,1077,0.9178,0.7354,0.7573,0.2927,0.8162,0.5718,0.8725,0.6169
15B,15000,logreg,10240,9196,1077,0.8842,0.6857,0.7077,0.2403,0.7606,0.5058,0.8736,0.663
